Market,Mode,Trips,Share,Trip_Length_mi,Total_Trips
Atlanta Metro,Car (drive),3981681953,0.64790158,16.26,6145504308
Atlanta Metro,Car (passenger),1391107145,0.226361756,16.26,6145504308
Atlanta Metro,TNC (private),32304770.37,0.005256651,9.603241,6145504308
Atlanta Metro,TNC (shared),8563907.625,0.001393524,9.603241,6145504308
Atlanta Metro,Transit,156368095.6,0.025444307,0,6145504308
Atlanta Metro,Walk,551044279.8,0.089666243,0,6145504308
Atlanta Metro,Bike,24434156.79,0.00397594,0,6145504308
Austin Metro,Car (drive),1704879741,0.63819716,12.57,2671399762
Austin Metro,Car (passenger),639861171.1,0.239522808,12.57,2671399762
Austin Metro,TNC (private),5670730.528,0.002122756,8.013979,2671399762
Austin Metro,TNC (shared),1956738.917,0.000732477,8.013979,2671399762
Austin Metro,Transit,43686746.59,0.016353504,0,2671399762
Austin Metro,Walk,240657433.9,0.090086642,0,2671399762
Austin Metro,Bike,34687200.04,0.012984653,0,2671399762
Boston Metro,Car (drive),3025969480,0.501286928,10.6,6036402126
Boston Metro,Car (passenger),1254058814,0.207749382,10.6,6036402126
Boston Metro,TNC (private),28584658.8,0.00473538,3.92429,6036402126
Boston Metro,TNC (shared),15000787.62,0.002485054,3.92429,6036402126
Boston Metro,Transit,467961048.1,0.077523173,0,6036402126
Boston Metro,Walk,1152735786,0.190964048,0,6036402126
Boston Metro,Bike,92091551.45,0.015256033,0,6036402126
Chicago Metro,Car (drive),6127431578,0.566276397,11.91,10820566802
Chicago Metro,Car (passenger),1909744328,0.176492079,11.91,10820566802
Chicago Metro,TNC (private),71836624.17,0.006638897,7.015669,10820566802
Chicago Metro,TNC (shared),36610972.3,0.003383462,7.015669,10820566802
Chicago Metro,Transit,828335577.8,0.076551958,0,10820566802
Chicago Metro,Walk,1751106492,0.161831309,0,10820566802
Chicago Metro,Bike,95501230.54,0.008825899,0,10820566802
Denver Metro,Car (drive),2105897347,0.590813863,10.11,3564400701
Denver Metro,Car (passenger),852566554.2,0.239189313,10.11,3564400701
Denver Metro,TNC (private),7462235.353,0.002093546,9.272182,3564400701
Denver Metro,TNC (shared),2474346.313,0.000694183,9.272182,3564400701
Denver Metro,Transit,88613347.8,0.024860658,0,3564400701
Denver Metro,Walk,430413929.8,0.12075352,0,3564400701
Denver Metro,Bike,76972941.4,0.021594918,0,3564400701
District of Columbia Metro,Car (drive),4290976776,0.532684304,10.82,8055384297
District of Columbia Metro,Car (passenger),1475998398,0.183231283,10.82,8055384297
District of Columbia Metro,TNC (private),80540236.46,0.009998311,5.902173,8055384297
District of Columbia Metro,TNC (shared),33537299.03,0.004163339,5.902173,8055384297
District of Columbia Metro,Transit,658206999.5,0.081710192,0,8055384297
District of Columbia Metro,Walk,1440695590,0.178848772,0,8055384297
District of Columbia Metro,Bike,75428998.26,0.009363799,0,8055384297
Las Vegas Metro,Car (drive),1424691953,0.635492677,11.58,2241869978
Las Vegas Metro,Car (passenger),459783974.5,0.205089492,11.58,2241869978
